Directory,Filename,Motivation,Model description,Dataset,Dataset description
poisson,MH.jl,Metropolis-Hastings over discrete sample space,Poisson distribution,-,-
swiss,RAM.jl,Random adaptive Metropolis,Bayesian logistic regression,swiss,Swiss banknotes
swiss/MALA,analytical.jl,MALA with analytical gradient,Bayesian logistic regression,swiss,Swiss banknotes
swiss/MALA/reversediff,expressionargs.jl,MALA with gradient computed via expression-based reverse mode AD,Bayesian logistic regression,swiss,Swiss banknotes
swiss/MALA/reversediff,functionargs.jl,MALA with gradient computed via function-based reverse mode AD,Bayesian logistic regression,swiss,Swiss banknotes
swiss/MALA,forwarddiff.jl,MALA with gradient computed via forward mode AD,Bayesian logistic regression,swiss,Swiss banknotes
swiss/SMMALA,analytical.jl,SMMALA with analytical gradient and tensor,Bayesian logistic regression,swiss,Swiss banknotes
swiss/SMMALA/reversediff,expressionargs.jl,SMMALA with gradient and tensor computed via expression-based reverse mode AD,Bayesian logistic regression,swiss,Swiss banknotes
swiss/SMMALA/reversediff,functionargs.jl,SMMALA with gradient and tensor computed via function-based reverse mode AD,Bayesian logistic regression,swiss,Swiss banknotes
swiss/SMMALA,forwarddiff.jl,SMMALA with gradient and tensor computed via forward mode AD,Bayesian logistic regression,swiss,Swiss banknotes
